Ref,Val,Package,PosX,PosY,Rot,Side
"A1","Arduino_Mega2560_R3_Shield","Arduino_Mega2560_R3_Shield_Reduced_Hole",208.533600,-41.404800,-90.000000,top
"Cameras/DAQ/Opto","Screw_Terminal_01x06","TerminalBlock_Phoenix_MKDS-1,5-6_1x06_P5.00mm_Horizontal",251.714000,-107.122000,90.000000,top
"Other","Screw_Terminal_01x04","TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal",239.174000,-117.602000,0.000000,top
"Q1","2N2219","SIPAK_Vertical",227.685600,-87.426800,0.000000,top
"Q2","2N2219","SIPAK_Vertical",227.685600,-69.138800,0.000000,top
"Q3","2N2219","SIPAK_Vertical",227.685600,-59.994800,0.000000,top
"Q4","2N2219","SIPAK_Vertical",227.685600,-78.435200,0.000000,top
"R1","1000","R_1206_3216Metric",238.669100,-89.458800,0.000000,top
"R2","1000","R_1206_3216Metric",238.673100,-80.314800,0.000000,top
"R3","300","R_1206_3216Metric",238.669100,-85.140800,0.000000,top
"R4","1000","R_1206_3216Metric",238.673100,-71.170800,0.000000,top
"R5","300","R_1206_3216Metric",238.622300,-75.996800,0.000000,top
"R6","1000","R_1206_3216Metric",238.662500,-62.030000,0.000000,top
"R7","300","R_1206_3216Metric",238.610000,-66.850000,0.000000,top
"R8","300","R_1206_3216Metric",238.672500,-57.710000,0.000000,top
"Real_Time_Clock","Conn_01x04_Pin","PinHeader_1x04_P2.00mm_Vertical",245.961400,-132.156200,90.000000,top
"Rotary_Encoder1","Screw_Terminal_01x04","TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal",218.694000,-59.182000,-90.000000,top
"Rotary_Encoder2","Screw_Terminal_01x04","TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal",218.694000,-82.042000,-90.000000,top
"UV_Leds/IR_LEDs","Screw_Terminal_01x05","TerminalBlock_Phoenix_MKDS-1,5-5_1x05_P5.00mm_Horizontal",251.714000,-74.422000,90.000000,top
"V_LED1","LED","LED_0805_2012Metric",217.424000,-119.860300,-90.000000,top
"V_LED2","LED","LED_0805_2012Metric",225.040000,-119.860000,-90.000000,top
"V_LED3","LED","LED_0805_2012Metric",232.664000,-119.867500,-90.000000,top
"V_LED4","LED","LED_0805_2012Metric",232.613200,-115.343700,90.000000,top
"V_LED5","LED","LED_0805_2012Metric",224.983200,-115.363700,90.000000,top
"V_LED6","LED","LED_0805_2012Metric",217.393200,-115.411200,90.000000,top
"V_LED_R1","300","R_1206_3216Metric",217.520000,-127.092500,-90.000000,top
"V_LED_R2","300","R_1206_3216Metric",225.080000,-127.152500,-90.000000,top
"V_LED_R3","300","R_1206_3216Metric",232.660000,-127.042500,-90.000000,top
"V_LED_R4","300","R_1206_3216Metric",232.562400,-108.599700,90.000000,top
"V_LED_R5","300","R_1206_3216Metric",224.993200,-108.599700,90.000000,top
"V_LED_R6","300","R_1206_3216Metric",217.373200,-108.610400,90.000000,top
